city_querry;;
АБАКАН;  true,;АБАКАН
Белый Яр;  true,;Белый Яр
Бея;  true,;Бея
Боград;  true,;Боград
Копьево;  true,;Копьево
Саяногорск;  true,;Саяногорск
Сорск;  true,;Сорск
Таштып;  true,;Таштып
Усть-Абакан;  true,;Усть-Абакан
Черногорск;  true,;Черногорск
Шира;  true,;Шира
АРХАНГЕЛЬСК;  true,;АРХАНГЕЛЬСК
Березник;  true,;Березник
Вельск;  true,;Вельск
Верхняя Тойма;  true,;Верхняя Тойма
Ильинско-Подомское;  false,;
Каргополь;  true,;Каргополь
Карпогоры;  true,;Карпогоры
Коноша;  true,;Коноша
Коряжма;  true,;Коряжма
Котлас;  true,;Котлас
Красноборск;  true,;Красноборск
Лешуконское;  true,;Лешуконское
Мезень;  true,;Мезень
Мирный;  true,;Мирный
Нарьян-Мар;  true,;Нарьян-Мар
Новодвинск;  true,;Новодвинск
Няндома;  true,;Няндома
Октябрьский;  true,;Октябрьский
Онега;  true,;Онега
Плесецк;  true,;Плесецк
Северодвинск;  true,;Северодвинск
о.Соловки;  false,;
Холмогоры;  true,;Холмогоры
Шенкурск;  true,;Шенкурск
Яренск;  true,;Яренск
АСТРАХАНЬ;  true,;АСТРАХАНЬ
Ахтубинск;  true,;Ахтубинск
Володарский;  true,;Володарский
Енотаевка;  true,;Енотаевка
Икряное;  true,;Икряное
Знаменск;  true,;Знаменск
Камызяк;  true,;Камызяк
Красный Яр;  true,;Красный Яр
Лиман;  true,;Лиман
Нариманов;  true,;Нариманов
Началово;  true,;Началово
Харабли;  true,;Харабли
Черный Яр;  true,;Черный Яр
БАРНАУЛ;  true,;БАРНАУЛ
Алейск;  true,;Алейск
Бийск;  true,;Бийск
Заринск;  true,;Заринск
Камень на Оби;  true,;Камень на Оби
Новоалтайск;  true,;Новоалтайск
Павловск;  true,;Павловск
БЕЛГОРОД;  true,;БЕЛГОРОД
Алексеевка;  true,;Алексеевка
Борисовка;  true,;Борисовка
Валуйки;  true,;Валуйки
Вейделевка;  true,;Вейделевка
Волоконовка;  true,;Волоконовка
Губкин;  true,;Губкин
Ивня;  true,;Ивня
Короча;  true,;Короча
Красногвардейское;  true,;Красногвардейское
Красное;  true,;Красное
Новый Оскол;  true,;Новый Оскол
Прохоровка;  true,;Прохоровка
Ракитное;  true,;Ракитное
Ровеньки;  true,;Ровеньки
Старый Оскол;  true,;Старый Оскол
Строитель;  true,;Строитель
Чернянка;  true,;Чернянка
Щебекино;  false,;
БЛАГОВЕЩЕНСК;  true,;БЛАГОВЕЩЕНСК
БРЯНСК;  true,;БРЯНСК
Выгоничи;  true,;Выгоничи
Жирятино;  true,;Жирятино
Жуковка;  true,;Жуковка
Злынка;  true,;Злынка
Карачев;  true,;Карачев
Клетня;  true,;Клетня
Климово;  true,;Климово
Клинцы;  true,;Клинцы
Комаричи;  true,;Комаричи
Красная Гора;  true,;Красная Гора
Локоть;  true,;Локоть
Мглин;  true,;Мглин
Новозыбков;  true,;Новозыбков
Погар;  true,;Погар
Почеп;  true,;Почеп
Рогнедино;  true,;Рогнедино
Севск;  true,;Севск
Стародуб;  true,;Стародуб
Суземка;  true,;Суземка
Унеча;  true,;Унеча
ВЛАДИВОСТОК;  true,;ВЛАДИВОСТОК
Анучино;  true,;Анучино
Арсеньев;  true,;Арсеньев
Артем;  true,;Артем
Большой Камень;  true,;Большой Камень
Дальнегорск;  true,;Дальнегорск
Дальнереченск;  true,;Дальнереченск
Кавалерово;  true,;Кавалерово
Камень-Рыболов;  true,;Камень-Рыболов
Кировский;  true,;Кировский
Лазо;  true,;Лазо
Лесозаводск;  true,;Лесозаводск
Лучегорск;  true,;Лучегорск
Михайловка;  true,;Михайловка
Находка;  true,;Находка
Новопокровка;  true,;Новопокровка
Ольга;  true,;Ольга
Партизанск;  true,;Партизанск
Пограничный;  true,;Пограничный
Покровка;  true,;Покровка
Спасск-Дальний;  true,;Спасск-Дальний
Славянка;  true,;Славянка
Терней;  true,;Терней
Уссурийск;  true,;Уссурийск
Фокино;  true,;Фокино
Хороль;  true,;Хороль
Черниговка;  true,;Черниговка
Чугуевка;  true,;Чугуевка
Яковлевка;  true,;Яковлевка
ВЛАДИКАВКАЗ;  true,;ВЛАДИКАВКАЗ
Алагир;  true,;Алагир
Ардон;  true,;Ардон
Архонская;  true,;Архонская
Беслан;  true,;Беслан
Дигора;  true,;Дигора
Моздок;  true,;Моздок
Октябрьское;  true,;Октябрьское
Чикола;  true,;Чикола
Эльхотово;  true,;Эльхотово
ВЛАДИМИР;  true,;ВЛАДИМИР
Александров;  true,;Александров
Вязники;  true,;Вязники
Гороховец;  true,;Гороховец
Гусь Хрустальный;  false,;
Камешково;  true,;Камешково
Киржач;  true,;Киржач
Ковров;  true,;Ковров
Кольчугино;  true,;Кольчугино
Красная Горбатка;  false,;
Меленки;  true,;Меленки
Муром;  true,;Муром
Петушки;  true,;Петушки
Радужный;  true,;Радужный
Собинка;  true,;Собинка
Судогда;  true,;Судогда
Суздаль;  true,;Суздаль
Юрьев-Польский;  true,;Юрьев-Польский
ВОЛГОГРАД;  true,;ВОЛГОГРАД
Алексеевская;  true,;Алексеевская
Быково;  true,;Быково
Волжский;  true,;Волжский
Городище;  true,;Городище
Даниловка;  true,;Даниловка
Дубовка;  true,;Дубовка
Елань;  true,;Елань
Жирновск;  true,;Жирновск
Иловля;  true,;Иловля
Калач-на-Дону;  true,;Калач-на-Дону
Камышин;  true,;Камышин
Киквидзе;  true,;Киквидзе
Клетский;  true,;Клетский
Котельниково;  true,;Котельниково
Котово;  true,;Котово
Кумылженская;  true,;Кумылженская
Ленинск;  true,;Ленинск
Михайловка;  true,;Михайловка
Нехаевский;  false,;
Николаевск;  true,;Николаевск
Новоаннинский;  true,;Новоаннинский
Новониколаевский;  true,;Новониколаевский
Октябрьский;  true,;Октябрьский
Ольховка;  true,;Ольховка
Палласовка;  true,;Палласовка
Рудня;  true,;Рудня
Светлый Яр;  true,;Светлый Яр
Серафимович;  true,;Серафимович
Средняя Ахтуба;  true,;Средняя Ахтуба
Старая Полтавка;  true,;Старая Полтавка
Суровикино;  true,;Суровикино
Урюпинск;  true,;Урюпинск
Фролово;  true,;Фролово
Чернышковский;  true,;Чернышковский
ВОЛОГДА;  true,;ВОЛОГДА
Бабаево;  true,;Бабаево
Белозерск;  true,;Белозерск
Великий Устюг;  true,;Великий Устюг
Верховажье;  true,;Верховажье
Вожега;  true,;Вожега
Вытегра;  true,;Вытегра
Грязовец;  true,;Грязовец
Кадуй;  true,;Кадуй
Кириллов;  true,;Кириллов
Кичменгский Городок;  false,;
Липин Бор;  true,;Липин Бор
Никольск;  true,;Никольск
Нюксеница;  true,;Нюксеница
Село им.Бабушкина;  false,;
Сокол;  true,;Сокол
Сямжа;  true,;Сямжа
Тарногский Городок;  false,;
Тотьма;  true,;Тотьма
Устье;  true,;Устье
Устюжна;  true,;Устюжна
Харовск;  true,;Харовск
Чагода;  true,;Чагода
Шексна;  true,;Шексна
Шуйское;  true,;Шуйское
ВОРОНЕЖ;  true,;ВОРОНЕЖ
Анна;  true,;Анна
Бобров;  true,;Бобров
Богучар;  true,;Богучар
Борисоглебск;  true,;Борисоглебск
Бутурлиновка;  true,;Бутурлиновка
Верхний Мамон;  true,;Верхний Мамон
Верхняя Хава;  true,;Верхняя Хава
Воробьевка;  true,;Воробьевка
Калач;  true,;Калач
Каменка;  true,;Каменка
Каширское;  true,;Каширское
Лиски;  true,;Лиски
Нижнедевицк;  true,;Нижнедевицк
Новая Усмань;  true,;Новая Усмань
Нововоронежский;  true,;Нововоронежский
Новохоперск;  true,;Новохоперск
Острогожск;  true,;Острогожск
Павловск;  true,;Павловск
Панино;  true,;Панино
Петропавловка;  true,;Петропавловка
Подгоренский;  true,;Подгоренский
Поворино;  true,;Поворино
Рамонь;  true,;Рамонь
Россошь;  true,;Россошь
Семилуки;  true,;Семилуки
Таловая;  true,;Таловая
Терновка;  true,;Терновка
Эртиль;  true,;Эртиль
ГОРНО-АЛТАЙСК;  true,;ГОРНО-АЛТАЙСК
ЕКАТЕРИНБУРГ;  true,;ЕКАТЕРИНБУРГ
Алапаевск;  true,;Алапаевск
Артемовский;  true,;Артемовский
Арти;  true,;Арти
Асбест;  true,;Асбест
Ачит;  true,;Ачит
Березовский;  true,;Березовский
Богданович;  true,;Богданович
Верхняя Пышма;  true,;Верхняя Пышма
Верхняя Салда;  true,;Верхняя Салда
Верхотурье;  true,;Верхотурье
Заречный;  true,;Заречный
Ирбит;  true,;Ирбит
Каменск-Уральский;  false,;
Карпинск;  true,;Карпинск
Качканар;  true,;Качканар
Кировград;  true,;Кировград
Краснотурьинск;  true,;Краснотурьинск
Красноуральск;  true,;Красноуральск
Красноуфимск;  true,;Красноуфимск
Кушва;  true,;Кушва
Невьянск;  true,;Невьянск
Нижние Серги;  true,;Нижние Серги
Нижний Тагил;  true,;Нижний Тагил
Нижняя Тура;  true,;Нижняя Тура
Новая Ляля;  true,;Новая Ляля
Новоуральск;  true,;Новоуральск
Первоуральск;  true,;Первоуральск
Полевской;  true,;Полевской
Пышма;  true,;Пышма
Ревда;  true,;Ревда
Североуральск;  true,;Североуральск
Серов;  true,;Серов
Сухой Лог;  true,;Сухой Лог
Талица;  true,;Талица
Таборы;  true,;Таборы
Тавда;  true,;Тавда
Тугулым;  true,;Тугулым
Туринск;  true,;Туринск
Туринская Слобода;  false,;
Шаля;  true,;Шаля
ИВАНОВО;  true,;ИВАНОВО
Верхний Ландех;  true,;Верхний Ландех
Вичуга;  true,;Вичуга
Гаврилов Посад;  true,;Гаврилов Посад
Ильинское-Хованское;  false,;
Кинешма;  true,;Кинешма
Комсомольск;  true,;Комсомольск
Лежнево;  true,;Лежнево
Палех;  true,;Палех
Пестяки;  true,;Пестяки
Приволжск;  true,;Приволжск
Пучеж;  true,;Пучеж
Родники;  true,;Родники
Савино;  true,;Савино
Тейково;  true,;Тейково
Фурманов;  true,;Фурманов
Шуя;  true,;Шуя
Южа;  true,;Южа
Юрьевец;  true,;Юрьевец
ИЖЕВСК;  true,;ИЖЕВСК
Алнаши;  true,;Алнаши
Балезино;  true,;Балезино
Вавож;  true,;Вавож
Воткинск;  true,;Воткинск
Глазов;  true,;Глазов
Грахово;  true,;Грахово
Дебесы;  true,;Дебесы
Завьялово;  true,;Завьялово
Игра;  true,;Игра
Камбарка;  true,;Камбарка
Каракулино;  true,;Каракулино
Кез;  true,;Кез
Кизнер;  true,;Кизнер
Киясово;  true,;Киясово
Красногорское;  true,;Красногорское
Малая Пурга;  true,;Малая Пурга
Можга;  true,;Можга
Сарапул;  true,;Сарапул
Селты;  true,;Селты
Сюмси;  true,;Сюмси
Ува;  true,;Ува
Шаркан;  true,;Шаркан
Юкаменское;  true,;Юкаменское
Якшур-Бодья;  true,;Якшур-Бодья
Яр;  true,;Яр
ИРКУТСК;  true,;ИРКУТСК
Железногорск-Илимский;  false,;
Киренск;  true,;Киренск
Новонукутский;  true,;Новонукутский
Усть-Илимск;  true,;Усть-Илимск
Черемхово;  true,;Черемхово
Шелехов;  true,;Шелехов
ЙОШКАР-ОЛА;  true,;ЙОШКАР-ОЛА
Волжск;  true,;Волжск
Звенигово;  true,;Звенигово
Козьмодемьянск;  true,;Козьмодемьянск
Куженер;  true,;Куженер
Килемары;  true,;Килемары
Морки;  true,;Морки
Мари-Турек;  true,;Мари-Турек
Новый Торьял;  false,;
Оршанка;  true,;Оршанка
Параньга;  true,;Параньга
Сернур;  true,;Сернур
Советский;  true,;Советский
Юрино;  true,;Юрино
КАЗАНЬ;  true,;КАЗАНЬ
Аксубаево;  true,;Аксубаево
Алексеевское;  true,;Алексеевское
Апастово;  true,;Апастово
Арск;  true,;Арск
Атня;  true,;Атня
Базарные Матаки;  true,;Базарные Матаки
Балтаси;  true,;Балтаси
Богатые Сабы;  true,;Богатые Сабы
Булгар;  true,;Булгар
Буинск;  true,;Буинск
Верхний Услон;  true,;Верхний Услон
Высокая Гора;  true,;Высокая Гора
Зеленодольск;  true,;Зеленодольск
Камское Устье;  true,;Камское Устье
Кукмор;  true,;Кукмор
Лаишево;  true,;Лаишево
Новошешминск;  true,;Новошешминск
Нурлат;  true,;Нурлат
Пестрецы;  true,;Пестрецы
Рыбная Слобода;  true,;Рыбная Слобода
Старое Дрожжаное;  false,;
Тетюши;  true,;Тетюши
Тюлячи;  true,;Тюлячи
Черемшан;  true,;Черемшан
Чистополь;  true,;Чистополь
КАЛИНИНГРАД;  true,;КАЛИНИНГРАД
Багратионовск;  true,;Багратионовск
Балтийск;  true,;Балтийск
Гвардейск;  true,;Гвардейск
Гурьевск;  true,;Гурьевск
Гусев;  true,;Гусев
Зеленоградск;  true,;Зеленоградск
Краснознаменск;  true,;Краснознаменск
Неман;  true,;Неман
Нестеров;  true,;Нестеров
Озерск;  true,;Озерск
Пионерский;  true,;Пионерский
Полесск;  true,;Полесск
Правдинск;  true,;Правдинск
Светлогорск;  true,;Светлогорск
Светлый;  true,;Светлый
Славск;  true,;Славск
Советск;  true,;Советск
Черняховск;  true,;Черняховск
КАЛУГА;  true,;КАЛУГА
Бабынино;  true,;Бабынино
Балабаново;  true,;Балабаново
Боровск;  true,;Боровск
Жуково;  true,;Жуково
Киров;  true,;Киров
Кондрово;  true,;Кондрово
Людиново;  true,;Людиново
Малоярославец;  true,;Малоярославец
Медынь;  true,;Медынь
Мещовск;  true,;Мещовск
Обнинск;  true,;Обнинск
Перемышль;  true,;Перемышль
Спас-Деменск;  true,;Спас-Деменск
Сухиничи;  true,;Сухиничи
Таруса;  true,;Таруса
Ульяново;  true,;Ульяново
Юхнов;  true,;Юхнов
КЕМЕРОВО;  true,;КЕМЕРОВО
Анжеро-Судженск;  true,;Анжеро-Судженск
Белово;  true,;Белово
Березовский;  true,;Березовский
Верх-Чебула;  true,;Верх-Чебула
Гурьевск;  true,;Гурьевск
Ижморский;  true,;Ижморский
Кисилевск;  false,;
Ленинск-Кузнецкий;  false,;
Мариинск;  true,;Мариинск
Междуреченск;  true,;Междуреченск
Мыски;  true,;Мыски
Новокузнецк;  true,;Новокузнецк
Осинники;  true,;Осинники
Прокопьевск;  true,;Прокопьевск
Промышленная;  true,;Промышленная
Таштагол;  true,;Таштагол
Тисуль;  true,;Тисуль
Топки;  true,;Топки
Юрга;  true,;Юрга
Яшкино;  true,;Яшкино
Яя;  true,;Яя
КИРОВ;  true,;КИРОВ
Арбаж;  true,;Арбаж
Белая Холуница;  true,;Белая Холуница
Богородское;  true,;Богородское
Верхошижемье;  true,;Верхошижемье
Вятские Поляны;  true,;Вятские Поляны
Даровской;  true,;Даровской
Зуевка;  true,;Зуевка
Кикнур;  true,;Кикнур
Кильмезь;  true,;Кильмезь
Кирово-Чепецк;  true,;Кирово-Чепецк
Кирс;  true,;Кирс
Котельнич;  true,;Котельнич
Кумены;  true,;Кумены
Лебяжье;  true,;Лебяжье
Ленинское;  true,;Ленинское
Луза;  true,;Луза
Малмыж;  true,;Малмыж
Мураши;  true,;Мураши
Нагорск;  true,;Нагорск
Нема;  true,;Нема
Нолинск;  true,;Нолинск
Омутнинск;  true,;Омутнинск
Опарино;  true,;Опарино
Оричи;  true,;Оричи
Орлов;  true,;Орлов
Пижанка;  true,;Пижанка
Подосиновец;  true,;Подосиновец
Санчурск;  true,;Санчурск
Свеча;  true,;Свеча
Слободской;  true,;Слободской
Советск;  true,;Советск
Суна;  true,;Суна
Тужа;  true,;Тужа
Уни;  true,;Уни
Уржум;  true,;Уржум
Фаленки;  true,;Фаленки
Юрья;  true,;Юрья
Яранск;  true,;Яранск
КОСТРОМА;  true,;КОСТРОМА
Антропово;  true,;Антропово
Боговарово;  true,;Боговарово
Буй;  true,;Буй
Волгореченск;  true,;Волгореченск
Вохма;  true,;Вохма
Галич;  true,;Галич
Георгиевское;  true,;Георгиевское
Кадый;  true,;Кадый
Кологрив;  true,;Кологрив
Красное-на-Волге;  true,;Красное-на-Волге
Макарьев;  true,;Макарьев
Мантурово;  true,;Мантурово
Нерехта;  true,;Нерехта
Нея;  true,;Нея
Островское;  true,;Островское
Павино;  true,;Павино
Парфеньево;  true,;Парфеньево
Поназырево;  true,;Поназырево
Пыщуг;  true,;Пыщуг
Солигалич;  true,;Солигалич
Судиславль;  true,;Судиславль
Сусанино;  true,;Сусанино
Чухлома;  true,;Чухлома
Шарья;  true,;Шарья
КРАСНОДАР;  true,;КРАСНОДАР
Абинск;  true,;Абинск
Анапа;  true,;Анапа
Апшеронск;  true,;Апшеронск
Армавир;  true,;Армавир
Белореченск;  true,;Белореченск
Геленджик;  true,;Геленджик
Горячий Ключ;  true,;Горячий Ключ
Динская;  true,;Динская
Каневская;  true,;Каневская
Гулькевичи;  true,;Гулькевичи
Кореновск;  true,;Кореновск
Кропоткин;  true,;Кропоткин
Курганинск;  true,;Курганинск
Лабинск;  true,;Лабинск
Мостовской;  true,;Мостовской
Приморско-Ахтарск;  false,;
Славянск-на-Кубани;  true,;Славянск-на-Кубани
Станица Брюховецкая;  false,;
Станица Кавказская;  false,;
Станица Калининская;  false,;
Станица Красноармейская;  false,;
Станица Крыловская;  false,;
Станица Кущевская;  false,;
Станица Новопокровская;  false,;
Станица Отрадная;  false,;
Станица Павловская;  false,;
Станица Старощербиновская;  false,;
Станица Тбилисская;  false,;
Тимашевск;  true,;Тимашевск
Тихорецк;  true,;Тихорецк
Туапсе;  true,;Туапсе
Успенское;  true,;Успенское
Усть-Лабинск;  true,;Усть-Лабинск
КРАСНОЯРСК;  true,;КРАСНОЯРСК
Абан;  true,;Абан
Ачинск;  true,;Ачинск
Балахта;  true,;Балахта
Березовка;  true,;Березовка
Большая Мурта;  true,;Большая Мурта
Большой Улуй;  true,;Большой Улуй
Бородино;  true,;Бородино
Дзержинское;  true,;Дзержинское
Дивногорск;  true,;Дивногорск
Емельяново;  true,;Емельяново
Енисейск;  true,;Енисейск
Ермаковское;  true,;Ермаковское
Железногорск;  true,;Железногорск
Зеленогорск;  true,;Зеленогорск
Ирбейское;  true,;Ирбейское
Казачинское;  true,;Казачинское
Канск;  true,;Канск
Каратузское;  true,;Каратузское
Кедровый;  true,;Кедровый
Козулька;  true,;Козулька
Лесосибирск;  true,;Лесосибирск
Минусинск;  true,;Минусинск
Нижний Ингаш;  true,;Нижний Ингаш
Новоселово;  true,;Новоселово
Партизанское;  true,;Партизанское
Пировское;  true,;Пировское
Сухобузимское;  true,;Сухобузимское
Тасеево;  true,;Тасеево
Тюхтет;  true,;Тюхтет
Ужур;  true,;Ужур
Уяр;  true,;Уяр
Шалинское;  true,;Шалинское
Шарыпово;  true,;Шарыпово
Шушенское;  true,;Шушенское
КУРГАН;  true,;КУРГАН
Альменево;  true,;Альменево
Белозерское;  true,;Белозерское
Варгаши;  true,;Варгаши
Глядянское;  true,;Глядянское
Далматово;  true,;Далматово
Звериноголовское;  true,;Звериноголовское
Каргаполье;  true,;Каргаполье
Катайск;  true,;Катайск
Кетово;  true,;Кетово
Куртамыш;  true,;Куртамыш
Лебяжье;  true,;Лебяжье
Макушино;  true,;Макушино
Мишкино;  true,;Мишкино
Мокроусово;  true,;Мокроусово
Петухово;  true,;Петухово
Половинное;  true,;Половинное
Сафакулево;  true,;Сафакулево
Целинное;  true,;Целинное
Частоозерье;  true,;Частоозерье
Шадринск;  true,;Шадринск
Шатрово;  true,;Шатрово
Шумиха;  true,;Шумиха
Щучье;  true,;Щучье
Юргамыш;  true,;Юргамыш
КУРСК;  true,;КУРСК
Белая;  true,;Белая
Большое Солдатское;  false,;
Глушково;  true,;Глушково
Горшечное;  true,;Горшечное
Дмитриев-Льговский;  false,;
Железногорск;  true,;Железногорск
Золотухино;  true,;Золотухино
Касторное;  true,;Касторное
Конышевка;  true,;Конышевка
Коренево;  true,;Коренево
Курчатов;  true,;Курчатов
Кшенский;  true,;Кшенский
Льгов;  true,;Льгов
Мантурово;  true,;Мантурово
Медвенка;  true,;Медвенка
Обоянь;  true,;Обоянь
Поныри;  true,;Поныри
Пристень;  true,;Пристень
Прямицыно;  true,;Прямицыно
Рыльск;  true,;Рыльск
Суджа;  true,;Суджа
Солнцево;  true,;Солнцево
Тим;  true,;Тим
Фатеж;  true,;Фатеж
Хомутовка;  true,;Хомутовка
Щигры;  true,;Щигры
Черемисиново;  true,;Черемисиново
ЛИПЕЦК;  true,;ЛИПЕЦК
Волово;  true,;Волово
Грязи;  true,;Грязи
Данков;  true,;Данков
Добринка;  true,;Добринка
Доброе;  true,;Доброе
Долгоруково;  true,;Долгоруково
Елец;  true,;Елец
Задонск;  true,;Задонск
Измалково;  true,;Измалково
Красное;  true,;Красное
Лебедянь;  true,;Лебедянь
Лев Толстой;  true,;Лев Толстой
Становое;  true,;Становое
Тербуны;  true,;Тербуны
Усмань;  true,;Усмань
Хлевное;  true,;Хлевное
Чаплыгин;  true,;Чаплыгин
МАЙКОП;  true,;МАЙКОП
МАГАДАН;  true,;МАГАДАН
Омсукчан;  true,;Омсукчан
Палатка;  true,;Палатка
Сеймчан;  true,;Сеймчан
Сусуман;  true,;Сусуман
Усть-Омчуг;  true,;Усть-Омчуг
МАХАЧКАЛА;  true,;МАХАЧКАЛА
МОСКВА;  true,;МОСКВА
Волоколамск;  true,;Волоколамск
Воскресенск;  true,;Воскресенск
Голицыно;  true,;Голицыно
Дмитров;  true,;Дмитров
Домодедово;  true,;Домодедово
Дубна;  true,;Дубна
Зарайск;  true,;Зарайск
Звенигород;  true,;Звенигород
Егорьевск;  true,;Егорьевск
Жуковский;  true,;Жуковский
Истра;  true,;Истра
Клин;  true,;Клин
Коломна;  true,;Коломна
Лотошино;  true,;Лотошино
Луховицы;  true,;Луховицы
Можайск;  true,;Можайск
Наро-Фоминск;  true,;Наро-Фоминск
Ногинск;  true,;Ногинск
Озеры;  true,;Озеры
Орехово-Зуево;  true,;Орехово-Зуево
Павловский Посад;  false,;
Подольск;  true,;Подольск
Пушкино;  true,;Пушкино
Раменское;  true,;Раменское
Руза;  true,;Руза
Серебряные Пруды;  false,;
Серпухов;  true,;Серпухов
Сергиев Посад;  true,;Сергиев Посад
Солнечногорск;  true,;Солнечногорск
Ступино;  true,;Ступино
Талдом;  true,;Талдом
Троицк;  true,;Троицк
Шатура;  true,;Шатура
Шаховская;  true,;Шаховская
Щелково;  true,;Щелково
Чехов;  true,;Чехов
Электросталь;  true,;Электросталь
МУРМАНСК;  true,;МУРМАНСК
Апатиты;  true,;Апатиты
Заполярный;  true,;Заполярный
Заозерск;  true,;Заозерск
Кандалакша;  true,;Кандалакша
Кировск;  true,;Кировск
Ковдор;  true,;Ковдор
Кола;  true,;Кола
Ловозеро;  true,;Ловозеро
Мончегорск;  true,;Мончегорск
Оленегорск;  true,;Оленегорск
Североморск;  true,;Североморск
Снежногорск;  true,;Снежногорск
Полярный;  true,;Полярный
Полярные Зори;  true,;Полярные Зори
Умба;  true,;Умба
НАБ. ЧЕЛНЫ;  true,;НАБ. ЧЕЛНЫ
Агрыз;  true,;Агрыз
Азнакаево;  true,;Азнакаево
Актаныш;  true,;Актаныш
Альметьевск;  true,;Альметьевск
Бавлы;  true,;Бавлы
Бугульма;  true,;Бугульма
Елабуга;  true,;Елабуга
Лениногорск;  true,;Лениногорск
Заинск;  true,;Заинск
Мамадыш;  true,;Мамадыш
Менделеевск;  true,;Менделеевск
Мензелинск;  true,;Мензелинск
Муслюмово;  true,;Муслюмово
Нижнекамск;  true,;Нижнекамск
Сарманово;  true,;Сарманово
Уруссу;  true,;Уруссу
НИЖ. НОВГОРОД;  true,;НИЖ. НОВГОРОД
Ардатов;  true,;Ардатов
Арзамас;  true,;Арзамас
Балахна;  true,;Балахна
Богородск;  true,;Богородск
Большое Болдино;  true,;Большое Болдино
Большое Мурашкино;  false,;
Бор;  true,;Бор
Бутурлино;  true,;Бутурлино
Вад;  true,;Вад
Вача;  true,;Вача
Ветлуга;  true,;Ветлуга
Вознесенское;  true,;Вознесенское
Воскресенское;  true,;Воскресенское
Выкса;  true,;Выкса
Гагино;  true,;Гагино
Городец;  true,;Городец
Дальнее Константиново;  false,;
Дзержинск;  true,;Дзержинск
Дивеево;  true,;Дивеево
Ковернино;  true,;Ковернино
Кстово;  true,;Кстово
Кулебаки;  true,;Кулебаки
Лукоянов;  true,;Лукоянов
Лысково;  true,;Лысково
Навашино;  true,;Навашино
Павлово;  true,;Павлово
Первомайск;  true,;Первомайск
Перевоз;  true,;Перевоз
Пильна;  true,;Пильна
Починки;  true,;Починки
Саров;  true,;Саров
Семенов;  true,;Семенов
Сергач;  true,;Сергач
