city_querry;;
Верхнедвинск;  true,;Верхнедвинск
Ветка;  true,;Ветка
Вилейка;  true,;Вилейка
ВИТЕБСК;  true,;ВИТЕБСК
Волковыск;  true,;Волковыск
Воложин;  true,;Воложин
Вороново;  true,;Вороново
Ганцевичи;  true,;Ганцевичи
Глубокое;  true,;Глубокое
Глуск;  true,;Глуск
ГОМЕЛЬ;  true,;ГОМЕЛЬ
Горки;  true,;Горки
Городок;  true,;Городок
ГРОДНО;  true,;ГРОДНО
Дзержинск;  true,;Дзержинск
Добруш;  true,;Добруш
Докшицы;  true,;Докшицы
Дрибин;  true,;Дрибин
Дрогичин;  true,;Дрогичин
Дубровно;  true,;Дубровно
Дятлово;  true,;Дятлово
Ельск;  true,;Ельск
Жабинка;  true,;Жабинка
Житковичи;  true,;Житковичи
ЖЛОБИН;  true,;ЖЛОБИН
Жодино;  true,;Жодино
Зельва;  true,;Зельва
Иваново;  true,;Иваново
Иванцевичи;  false,;
Ивье;  true,;Ивье
Калинковичи;  true,;Калинковичи
Каменец;  true,;Каменец
Кировск;  true,;Кировск
Клецк;  true,;Клецк
Климовичи;  true,;Климовичи
Кличев;  true,;Кличев
КОБРИН;  true,;КОБРИН
Копыль;  true,;Копыль
Кореличи;  true,;Кореличи
Корма;  true,;Корма
Костюковичи;  true,;Костюковичи
Краснополье;  true,;Краснополье
Кричев;  true,;Кричев
Круглое;  true,;Круглое
Крупки;  true,;Крупки
Лельчицы;  true,;Лельчицы
Лепель;  true,;Лепель
ЛИДА;  true,;ЛИДА
Лиозно;  true,;Лиозно
Логойск;  true,;Логойск
Лоев;  true,;Лоев
Лунинец;  true,;Лунинец
Любань;  true,;Любань
Ляховичи;  true,;Ляховичи
Малорита;  true,;Малорита
Марьина Горка;  true,;Марьина Горка
МИНСК;  true,;МИНСК
Миоры;  true,;Миоры
МОГИЛЁВ;  true,;МОГИЛЁВ
МОЗЫРЬ;  true,;МОЗЫРЬ
МОЛОДЕЧНО;  true,;МОЛОДЕЧНО
Мосты;  true,;Мосты
Мстиславль;  true,;Мстиславль
Мядель;  true,;Мядель
Наровля;  true,;Наровля
Нарочь;  true,;Нарочь
Несвиж;  true,;Несвиж
Новогрудок;  true,;Новогрудок
НОВОПОЛОЦК;  true,;НОВОПОЛОЦК
Октябрьский;  true,;Октябрьский
ОРША;  true,;ОРША
Осиповичи;  true,;Осиповичи
Островец;  true,;Островец
Ошмяны;  true,;Ошмяны
Петриков;  true,;Петриков
ПИНСК;  true,;ПИНСК
Плещеницы;  true,;Плещеницы
ПОЛОЦК;  true,;ПОЛОЦК
Поставы;  true,;Поставы
Пружаны;  true,;Пружаны
Речица;  true,;Речица
Рогачев;  true,;Рогачев
Россоны;  true,;Россоны
Светлогорск;  true,;Светлогорск
Свислоч;  true,;Свислоч
Сенно;  true,;Сенно
Славгород;  true,;Славгород
СЛОНИМ;  true,;СЛОНИМ
СЛУЦК;  true,;СЛУЦК
Смолевичи;  true,;Смолевичи
Сморгонь;  true,;Сморгонь
Солигорск;  true,;Солигорск
Старые Дороги;  true,;Старые Дороги
Столбцы;  true,;Столбцы
Столин;  true,;Столин
Толочин;  true,;Толочин
Узда;  true,;Узда
Ушачи;  true,;Ушачи
Хойники;  true,;Хойники
Хотимск;  true,;Хотимск
Чаусы;  true,;Чаусы
Чашники;  true,;Чашники
Червень;  true,;Червень
Чериков;  true,;Чериков
Чечерск;  true,;Чечерск
Шарковщина;  true,;Шарковщина
Шклов;  true,;Шклов
Шумилино;  true,;Шумилино
Щучин;  true,;Щучин
Азовское;  true,;Азовское
Акимовка;  true,;Акимовка
Александрия;  true,;Александрия
Александровка;  true,;Александровка
Александровка;  true,;Александровка
Алупка;  false,;
Алушта;  false,;
Алчевск;  true,;Алчевск
Амвросиевка;  true,;Амвросиевка
Ананьев;  true,;Ананьев
Андреевка;  true,;Андреевка
Андрушевка;  true,;Андрушевка
Антрацит;  true,;Антрацит
Апостолово;  true,;Апостолово
Арбузинка;  true,;Арбузинка
Армянск;  false,;
Артемовск;  true,;Артемовск
Арциз;  true,;Арциз
Аскания-Нова;  true,;Аскания-Нова
Ахтырка;  true,;Ахтырка
Аэрофлотский;  false,;
Бабай;  true,;Бабай
Балаклея;  true,;Балаклея
Балта;  true,;Балта
Бар;  true,;Бар
Барановка;  true,;Барановка
Барвенково;  true,;Барвенково
Барышевка;  true,;Барышевка
Батурин;  true,;Батурин
Бахмач;  true,;Бахмач
Бахчисарай;  false,;
Баштанка;  true,;Баштанка
Белая Церковь;  true,;Белая Церковь
Белгород-Днестровский;  false,;
Белгородск;  false,;
Беловодск;  true,;Беловодск
Белозерка;  true,;Белозерка
Белокукарино;  false,;
Белополье;  true,;Белополье
Беляевка;  true,;Беляевка
Бердичев;  true,;Бердичев
Бердянск;  true,;Бердянск
Берегово;  true,;Берегово
Бережаны;  true,;Бережаны
Березанка;  true,;Березанка
Березниговатое;  false,;
Березно;  true,;Березно
Березовка;  true,;Березовка
Березовка;  true,;Березовка
Берислав;  true,;Берислав
Бершадь;  true,;Бершадь
Близнюки;  true,;Близнюки
Бобринец;  true,;Бобринец
Бобрка;  true,;Бобрка
Бобровица;  true,;Бобровица
Богодухов;  true,;Богодухов
Богородчаны;  true,;Богородчаны
Богуслав;  true,;Богуслав
Болград;  true,;Болград
Болехов;  true,;Болехов
Борзна;  true,;Борзна
Борислав;  true,;Борислав
Борисполь;  true,;Борисполь
Боровая;  true,;Боровая
Бородянка;  true,;Бородянка
Борщов;  true,;Борщов
Боярка;  true,;Боярка
Братское;  true,;Братское
Бровары;  true,;Бровары
Броды;  true,;Броды
Брусилов;  true,;Брусилов
Брянка;  true,;Брянка
Бурштын;  true,;Бурштын
Бурынь;  true,;Бурынь
Буск;  true,;Буск
Буча;  true,;Буча
Бучач;  true,;Бучач
Быковка;  true,;Быковка
Валки;  true,;Валки
Вапнярка;  true,;Вапнярка
Варва;  true,;Варва
Васильевка;  true,;Васильевка
Васильков;  true,;Васильков
Васильковка;  true,;Васильковка
Введенка;  true,;Введенка
Великая Александровка;  false,;
Великая Белозерка;  false,;
Великая Богачка;  false,;
Великая Лепетиха;  false,;
Великая Михайловка;  false,;
Великая Новоселовка;  false,;
Великая Писаревка;  false,;
Великий Березный;  false,;
Великий Бурлук;  true,;Великий Бурлук
Верхнеднепровск;  true,;Верхнеднепровск
Верхний Рогачик;  true,;Верхний Рогачик
Верховина;  true,;Верховина
Веселиново;  true,;Веселиново
Веселое;  true,;Веселое
Вижница;  true,;Вижница
Винница;  true,;Винница
Виноградное;  true,;Виноградное
Виноградов;  true,;Виноградов
Виньковцы;  true,;Виньковцы
Вишнево;  true,;Вишнево
Владимир-Волынский;  false,;
Владимирец;  true,;Владимирец
Вовчанск;  false,;
Вознесенск;  true,;Вознесенск
Волноваха;  true,;Волноваха
Воловец;  true,;Воловец
Володарка;  true,;Володарка
Володарск-Волынский;  false,;
Володарское;  true,;Володарское
Волочиск;  true,;Волочиск
Вольногорск;  true,;Вольногорск
Вольнянск;  true,;Вольнянск
Врадиевка;  true,;Врадиевка
Высокий;  true,;Высокий
Высокополье;  true,;Высокополье
Вышгород;  true,;Вышгород
Гадяч;  true,;Гадяч
Гайворон;  true,;Гайворон
Гайсин;  true,;Гайсин
Галич;  true,;Галич
Гаспра;  false,;
Геническ;  true,;Геническ
Герца;  true,;Герца
Глобино;  true,;Глобино
Глухов;  true,;Глухов
Глыбока;  false,;
Голая Пристань;  true,;Голая Пристань
Голованевск;  true,;Голованевск
Голубая Затока;  false,;
Горловка;  true,;Горловка
Горностаевка;  true,;Горностаевка
Городенка;  true,;Городенка
Городище;  true,;Городище
Городница;  true,;Городница
Городня;  true,;Городня
Городок;  true,;Городок
Городок;  true,;Городок
Горохов;  true,;Горохов
Гоща;  true,;Гоща
Гребенка;  true,;Гребенка
Гришковцы;  true,;Гришковцы
Гуляйполе;  true,;Гуляйполе
Гурзуф;  false,;
Гусятин;  true,;Гусятин
Дашава;  true,;Дашава
Дашев;  true,;Дашев
Двуречная;  true,;Двуречная
Дебальцево;  true,;Дебальцево
Демидовка;  true,;Демидовка
Деражня;  true,;Деражня
Дергачи;  true,;Дергачи
Джанкой;  false,;
Дзержинск;  true,;Дзержинск
Дзержинск;  true,;Дзержинск
Диканька;  true,;Диканька
Дмитровка;  true,;Дмитровка
Днепродзержинск;  true,;Днепродзержинск
Днепропетровск;  true,;Днепропетровск
Днепропетровск;  true,;Днепропетровск
Днепрорудное;  true,;Днепрорудное
Добровеличковка;  true,;Добровеличковка
Доброполье;  true,;Доброполье
Довбыш;  true,;Довбыш
Докучаевск;  true,;Докучаевск
Долина;  true,;Долина
Долинская;  true,;Долинская
Доманевка;  true,;Доманевка
Донецк;  true,;Донецк
Донецк;  true,;Донецк
Драбов;  true,;Драбов
Дрогобыч;  true,;Дрогобыч
Дружба;  true,;Дружба
Дружба;  true,;Дружба
Дружковка;  true,;Дружковка
Дубно;  true,;Дубно
Дубовязовка;  true,;Дубовязовка
Дубровица;  true,;Дубровица
Дунаевцы;  true,;Дунаевцы
Дымер;  true,;Дымер
Евпатория;  false,;
Еланец;  true,;Еланец
Емильчина;  false,;
Енакиево;  true,;Енакиево
Жашков;  true,;Жашков
Желтые Воды;  true,;Желтые Воды
Жидачев;  false,;
Житомир;  true,;Житомир
Жмеринка;  true,;Жмеринка
Жовка;  false,;
Журовка;  false,;
Залещики;  true,;Залещики
Заозерное;  true,;Заозерное
Запорожье;  true,;Запорожье
Заречное;  true,;Заречное
Зачепиловка;  true,;Зачепиловка
Збараж;  true,;Збараж
Зборов;  true,;Зборов
Звенигородка;  true,;Звенигородка
Здолбунов;  true,;Здолбунов
Зеленодольск;  true,;Зеленодольск
Зеньков;  true,;Зеньков
Зимогория;  false,;
Змиев;  true,;Змиев
Знаменка;  true,;Знаменка
Золотники;  true,;Золотники
Золотоноша;  true,;Золотоноша
Золочев;  true,;Золочев
Золочев;  true,;Золочев
Иваничи;  true,;Иваничи
Иванков;  true,;Иванков
Ивано-Франковск;  true,;Ивано-Франковск
Ивано-Франковск;  true,;Ивано-Франковск
Ивановка;  true,;Ивановка
Ивановка;  true,;Ивановка
Иванополь;  true,;Иванополь
Измаил;  true,;Измаил
Изюм;  true,;Изюм
Изяслав;  true,;Изяслав
Ильинцы;  true,;Ильинцы
Ильичевск;  true,;Ильичевск
Иршанск;  true,;Иршанск
Ичня;  true,;Ичня
Кагарлык;  true,;Кагарлык
Казанка;  true,;Казанка
Казатин;  true,;Казатин
Каланчак;  true,;Каланчак
Калиновка;  true,;Калиновка
Калита;  true,;Калита
Калуш;  true,;Калуш
Каменец-Подольский;  false,;
Каменка;  true,;Каменка
Каменка-Бугская;  true,;Каменка-Бугская
Каменка-Днепровская;  false,;
Камень-Каширский;  false,;
Канев;  true,;Канев
Карловка;  true,;Карловка
Катеринополь;  true,;Катеринополь
Катцивели;  false,;
Каховка;  true,;Каховка
Кача;  true,;Кача
Кегичевка;  true,;Кегичевка
Кельменцы;  true,;Кельменцы
Керчь;  false,;
Киверцы;  true,;Киверцы
Киев;  true,;Киев
Килия;  true,;Килия
Кириловка;  false,;
Кировоград;  true,;Кировоград
Кировск;  true,;Кировск
Кировское;  true,;Кировское
Кировское;  true,;Кировское
Кировское;  true,;Кировское
Кобеляки;  true,;Кобеляки
Ковель;  true,;Ковель
Кодыма;  true,;Кодыма
Козачья Лопань;  false,;
Козелец;  true,;Козелец
Козельщина;  true,;Козельщина
Козлов;  true,;Козлов
Козова;  true,;Козова
Коломак;  true,;Коломак
Коломыя;  true,;Коломыя
Комарно;  true,;Комарно
Коментерновское;  false,;
Компанеевка;  true,;Компанеевка
Комсомольск;  true,;Комсомольск
Комсомольское;  true,;Комсомольское
Комсомольское;  true,;Комсомольское
Конотоп;  true,;Конотоп
Константиновка;  true,;Константиновка
Копыченцы;  false,;
Корец;  true,;Корец
Кориез;  false,;
Короп;  true,;Короп
Коропец;  true,;Коропец
Коростень;  true,;Коростень
Коростышев;  true,;Коростышев
Корсунь-Шевченко;  false,;
Корюковка;  true,;Корюковка
Коса;  true,;Коса
Косов;  true,;Косов
Костополь;  true,;Костополь
Котельва;  true,;Котельва
Котовск;  true,;Котовск
Кочеток;  true,;Кочеток
Краматорск;  true,;Краматорск
Краматорск;  true,;Краматорск
Красилов;  true,;Красилов
Красноармейск;  true,;Красноармейск
Красногвардейское;  false,;
Красноград;  true,;Красноград
Краснодон;  true,;Краснодон
Краснокаменка;  false,;
Краснокутск;  true,;Краснокутск
Краснопавловка;  true,;Краснопавловка
Красноперекопск;  false,;
Краснополье;  true,;Краснополье
Красные Окны;  true,;Красные Окны
Красный Лиман;  true,;Красный Лиман
Красный Луч;  true,;Красный Луч
Красятичи;  true,;Красятичи
Кременец;  true,;Кременец
Кременная;  true,;Кременная
Кременчуг;  true,;Кременчуг
Кривое Озеро;  true,;Кривое Озеро
Кривой Рог;  true,;Кривой Рог
Кринички;  true,;Кринички
Кролевец;  true,;Кролевец
Крыжополь;  true,;Крыжополь
Кузнецовск;  true,;Кузнецовск
Куйбышево;  true,;Куйбышево
Куйбышево;  true,;Куйбышево
Куликовка;  true,;Куликовка
Купянск;  true,;Купянск
Курпаты;  false,;
Ладыжин;  true,;Ладыжин
Лазурное;  true,;Лазурное
Лановцы;  true,;Лановцы
Лебедин;  true,;Лебедин
Ленино;  true,;Ленино
Летичев;  true,;Летичев
Ливадия;  false,;
Лиман;  true,;Лиман
Липовая Долина;  true,;Липовая Долина
Липовец;  true,;Липовец
Лисичанск;  true,;Лисичанск
Лисянка;  true,;Лисянка
Литин;  true,;Литин
Лозовая;  true,;Лозовая
Локачи;  true,;Локачи
Лохвица;  true,;Лохвица
Лубны;  true,;Лубны
Луганск;  true,;Луганск
Лугины;  true,;Лугины
Лутугино;  true,;Лутугино
Луцк;  true,;Луцк
Львов;  true,;Львов
Любар;  true,;Любар
Любашевка;  true,;Любашевка
Любешов;  true,;Любешов
Любомль;  true,;Любомль
Люботин;  true,;Люботин
Магдалиновка;  true,;Магдалиновка
Макаров;  true,;Макаров
Макеевка;  true,;Макеевка
Малая Виска;  true,;Малая Виска
Малая Даниловка;  true,;Малая Даниловка
Малин;  true,;Малин
Малиновка;  true,;Малиновка
Малокатериновка;  true,;Малокатериновка
Маневичи;  true,;Маневичи
Маньковка;  true,;Маньковка
Марганец;  true,;Марганец
Мариуполь;  true,;Мариуполь
Марковка;  true,;Марковка
Марьинка;  true,;Марьинка
Марьяновка;  true,;Марьяновка
Масандра;  false,;
Машевка;  true,;Машевка
Межгорье;  true,;Межгорье
Межевая;  true,;Межевая
Мелитополь;  true,;Мелитополь
Меловое;  true,;Меловое
Мена;  true,;Мена
Мерефа;  true,;Мерефа
Миргород;  true,;Миргород
Мироновка;  true,;Мироновка
Мирополь;  true,;Мирополь
Мисхор;  false,;
Михайловка;  true,;Михайловка
Млинов;  true,;Млинов
Могилев-Подольский;  false,;
Молодежное;  true,;Молодежное
Монастыриска;  true,;Монастыриска
Монастырище;  true,;Монастырище
Моршин;  true,;Моршин
Мостиска;  true,;Мостиска
Мукачево;  true,;Мукачево
Мурованные Куриловцы;  false,;
Надворная;  true,;Надворная
Народичи;  true,;Народичи
Недригайлов;  true,;Недригайлов
Нежин;  true,;Нежин
Немиров;  true,;Немиров
Немиров;  true,;Немиров
Нетешин;  true,;Нетешин
Нижнегорский;  false,;
Нижние Серегозы;  false,;
Николаев;  true,;Николаев
Николаев;  true,;Николаев
Николаевка;  true,;Николаевка
Никополь;  true,;Никополь
Никулинцы;  false,;
Новая Боровая;  true,;Новая Боровая
Новая Водолага;  true,;Новая Водолага
Новая Каховка;  true,;Новая Каховка
Новая Одесса;  true,;Новая Одесса
Новая Ушица;  true,;Новая Ушица
Новгород-Северский;  false,;
Новгородка;  true,;Новгородка
Новоазовск;  true,;Новоазовск
Новоархангельск;  true,;Новоархангельск
Нововолынск;  true,;Нововолынск
Нововоронцовка;  true,;Нововоронцовка
Новоднестровск;  true,;Новоднестровск
Новое Село;  true,;Новое Село
Новомиргород;  true,;Новомиргород
Новомосковск;  true,;Новомосковск
Новониколаевка;  true,;Новониколаевка
Новоозерное;  false,;
Новопокровка;  true,;Новопокровка
Новопсков;  true,;Новопсков
Новоселица;  true,;Новоселица
Новотроицкое;  true,;Новотроицкое
Новоукраинка;  true,;Новоукраинка
Новые Белокоровичи;  false,;
Новые Санжары;  true,;Новые Санжары
Новый Айдар;  false,;
Новый Буг;  true,;Новый Буг
Новый Раздол;  true,;Новый Раздол
Новый Свет;  true,;Новый Свет
Новый Свет;  true,;Новый Свет
Носовка;  true,;Носовка
Обухов;  true,;Обухов
Овидиополь;  true,;Овидиополь
Овруч;  true,;Овруч
Одесса;  true,;Одесса
Одесса;  true,;Одесса
Олевск;  true,;Олевск
Онуфриевка;  true,;Онуфриевка
Оратов;  true,;Оратов
Ордженикидзе;  false,;
Ордженикидзе;  false,;
Орехов;  true,;Орехов
Оржица;  true,;Оржица
Остер;  true,;Остер
Острог;  true,;Острог
Очаков;  true,;Очаков
Павлоград;  true,;Павлоград
Парковое;  false,;
Первомайск;  true,;Первомайск
Первомайск;  true,;Первомайск
Первомайский;  true,;Первомайский
Первомайское;  true,;Первомайское
Перевальск;  true,;Перевальск
Перемышляны;  true,;Перемышляны
Перечин;  true,;Перечин
Переяслав-Хмильницкий;  false,;
Першотравинск;  false,;
Першотравинск;  false,;
Першотравневое;  true,;Першотравневое
Першотравневое;  true,;Першотравневое
Песковка;  true,;Песковка
Песчанка;  true,;Песчанка
Петрово;  true,;Петрово
Петропавловка;  true,;Петропавловка
Печенеги;  true,;Печенеги
Пирятин;  true,;Пирятин
Планерское;  false,;
Погребище;  true,;Погребище
Подволочинск;  false,;
Подгайцы;  true,;Подгайцы
Покатиловка;  false,;
Покровское;  true,;Покровское
Пологи;  true,;Пологи
Полонное;  true,;Полонное
Полтава;  true,;Полтава
Полтава;  true,;Полтава
Полянка;  true,;Полянка
Понизовка;  false,;
Попасная;  true,;Попасная
Попельня;  true,;Попельня
Почтовое;  false,;
Приазовское;  true,;Приазовское
Приколотное;  true,;Приколотное
Прилуки;  true,;Прилуки
Приморск;  true,;Приморск
Приморский;  true,;Приморский
Пришиб;  true,;Пришиб
Прудянка;  true,;Прудянка
Пустомыты;  true,;Пустомыты
Путивль;  true,;Путивль
Путила;  true,;Путила
Пятихватки;  false,;
Рава-Русская;  true,;Рава-Русская
Радехов;  true,;Радехов
Радивилов;  true,;Радивилов
Радомышль;  true,;Радомышль
Раздельная;  true,;Раздельная
Раздольное;  true,;Раздольное
Ракитное;  true,;Ракитное
Ратно;  true,;Ратно
Рахов;  true,;Рахов
Рени;  true,;Рени
Репки;  true,;Репки
Решетиловка;  true,;Решетиловка
Ржищев;  true,;Ржищев
Ровеньки;  true,;Ровеньки
Ровно;  true,;Ровно
Ровно;  true,;Ровно
Роган;  true,;Роган
Рогатин;  true,;Рогатин
Рожище;  true,;Рожище
Рожнятов;  true,;Рожнятов
Розовка;  true,;Розовка
Рокитное;  true,;Рокитное
Ромны;  true,;Ромны
Рубежное;  true,;Рубежное
Рудница;  true,;Рудница
Ружин;  true,;Ружин
Саврань;  true,;Саврань
Саки;  false,;
Самбор;  true,;Самбор
Санаторное;  false,;
Сарата;  true,;Сарата
Сарны;  true,;Сарны
Сахновщина;  true,;Сахновщина
Свалява;  true,;Свалява
Сватово;  true,;Сватово
Свердловск;  true,;Свердловск
Светловодск;  true,;Светловодск
Северодонецк;  true,;Северодонецк
Селидово;  true,;Селидово
Семеновка;  true,;Семеновка
Семеновка;  true,;Семеновка
Середина-Буда;  true,;Середина-Буда
Симеиз;  false,;
Симферополь;  false,;
Синельниково;  true,;Синельниково
Скадовск;  true,;Скадовск
Скалат;  true,;Скалат
Сквира;  true,;Сквира
Сколе;  true,;Сколе
Славута;  true,;Славута
Славутич;  true,;Славутич
Славяногорск;  false,;
Славяносербск;  true,;Славяносербск
Славянск;  true,;Славянск
Смела;  true,;Смела
Снежное;  true,;Снежное
Снигиревка;  true,;Снигиревка
Снятын;  false,;
Советский;  false,;
Советское;  false,;
Сокаль;  true,;Сокаль
Сокиряны;  true,;Сокиряны
Соленое;  true,;Соленое
Сосница;  true,;Сосница
Софиевка;  true,;Софиевка
Сребное;  true,;Сребное
Ставище;  true,;Ставище
Станично-Луганское;  false,;
Старая Синева;  false,;
Старобельск;  true,;Старобельск
Старобешево;  true,;Старобешево
Староконстантинов;  true,;Староконстантинов
Старый Крым;  true,;Старый Крым
Старый Самбор;  true,;Старый Самбор
Старя Выжевка;  false,;
Стаханов;  true,;Стаханов
Сторожинец;  true,;Сторожинец
Стрый;  true,;Стрый
Судак;  false,;
Сумы;  true,;Сумы
Талалаевка;  true,;Талалаевка
Тальное;  true,;Тальное
Тараща;  true,;Тараща
Тарутино;  true,;Тарутино
Татарбунары;  true,;Татарбунары
Тельманово;  true,;Тельманово
Теофиполь;  true,;Теофиполь
Теплик;  true,;Теплик
Теребовля;  true,;Теребовля
Тернополь;  true,;Тернополь
Тетиев;  true,;Тетиев
Тлумач;  true,;Тлумач
Токмак;  true,;Токмак
Томаковка;  true,;Томаковка
Томашполь;  true,;Томашполь
Торез;  true,;Торез
Троицкое;  true,;Троицкое
Тростянец;  true,;Тростянец
Тростянец;  true,;Тростянец
Трускавец;  true,;Трускавец
Тульчин;  true,;Тульчин
Турийск;  true,;Турийск
Турка;  true,;Турка
Тывров;  true,;Тывров
Тысменица;  true,;Тысменица
Тячев;  true,;Тячев
Ужгород;  true,;Ужгород
Ужгород;  true,;Ужгород
Украинка;  true,;Украинка
Ульяновка;  true,;Ульяновка
Умань;  true,;Умань
Устиновка;  true,;Устиновка
Утковка;  true,;Утковка
Фастов;  true,;Фастов
Феодосия;  false,;
Форос;  true,;Форос
Фрунзовка;  true,;Фрунзовка
Харцызк;  false,;
Харьков;  true,;Харьков
Херсон;  true,;Херсон
Хмельник;  true,;Хмельник
Хмельницкий;  true,;Хмельницкий
Хмельницкий;  true,;Хмельницкий
Хорол;  true,;Хорол
Хотень;  true,;Хотень
Хотин;  true,;Хотин
Христоновка;  false,;
Хуст;  true,;Хуст
Царичанка;  true,;Царичанка
Цумань;  true,;Цумань
Цюрюпинск;  false,;
Чемеровцы;  true,;Чемеровцы
Червоноград;  true,;Червоноград
Черкассы;  true,;Черкассы
Черневцы;  true,;Черневцы
Чернигов;  true,;Чернигов
Чернигов;  true,;Чернигов
Черниговка;  true,;Черниговка
Чернобай;  true,;Чернобай
Чернобыль;  true,;Чернобыль
Черновцы;  true,;Черновцы
Черновцы;  true,;Черновцы
Черноморское;  true,;Черноморское
Чернухи;  true,;Чернухи
Черняхов;  true,;Черняхов
Чечельник;  true,;Чечельник
Чигирин;  true,;Чигирин
Чоп;  true,;Чоп
Чортков;  true,;Чортков
Чугуев;  true,;Чугуев
Чуднов;  true,;Чуднов
Чутово;  true,;Чутово
Шаргород;  true,;Шаргород
Шахтерск;  true,;Шахтерск
Шацк;  true,;Шацк
Шевченково;  true,;Шевченково
Шепетовка;  true,;Шепетовка
Широкое;  true,;Широкое
Шишаки;  true,;Шишаки
Шкло;  true,;Шкло
Шостка;  true,;Шостка
Шпола;  true,;Шпола
Шумское;  false,;
Щебетовка;  false,;
Щорс;  true,;Щорс
Энергодар;  true,;Энергодар
Южноукраинск;  true,;Южноукраинск
Юрьевка;  true,;Юрьевка
Яблунец;  true,;Яблунец
Яворов;  true,;Яворов
Яготин;  true,;Яготин
Ялта;  true,;Ялта
Ялта;  true,;Ялта
Ямполь;  true,;Ямполь
Ямполь;  true,;Ямполь
Ямполь;  true,;Ямполь
Яремча;  false,;
Ярмолинцы;  true,;Ярмолинцы
Ясиноватое;  false,;
